From;To;All points given by L;All points gotten by R;All points given from L to R;% of given points from L to R out of all given;% of gotten points to R from L out of all gotten;% of all votes for R;% of given from L - % of gotten from all
Serbia;Serbia&Montenegro;0;0;0;-1,00%;-1,00%;-1,00%;0,00%
Slovakia;Serbia&Montenegro;0;0;0;-1,00%;-1,00%;-1,00%;0,00%
Yugoslavia;Serbia&Montenegro;0;0;0;-1,00%;-1,00%;-1,00%;0,00%
Armenia;Serbia&Montenegro;58;0;0;0,00%;-1,00%;0,00%;0,00%
Australia;Slovakia;0;0;0;-1,00%;-1,00%;-1,00%;0,00%
Luxembourg;Slovakia;0;0;0;-1,00%;-1,00%;-1,00%;0,00%
Monaco;Slovakia;0;0;0;-1,00%;-1,00%;-1,00%;0,00%
Morocco;Slovakia;0;0;0;-1,00%;-1,00%;-1,00%;0,00%
Serbia&Montenegro;Slovakia;0;0;0;-1,00%;-1,00%;-1,00%;0,00%
Yugoslavia;Slovakia;0;0;0;-1,00%;-1,00%;-1,00%;0,00%
Albania;Slovakia;232;0;0;0,00%;-1,00%;0,00%;0,00%
Azerbaijan;Slovakia;232;0;0;0,00%;-1,00%;0,00%;0,00%
Belarus;Slovakia;232;0;0;0,00%;-1,00%;0,00%;0,00%
Belgium;Slovakia;232;0;0;0,00%;-1,00%;0,00%;0,00%
BosniaHerzegovina;Slovakia;232;0;0;0,00%;-1,00%;0,00%;0,00%
Bulgaria;Slovakia;232;0;0;0,00%;-1,00%;0,00%;0,00%
Croatia;Slovakia;232;0;0;0,00%;-1,00%;0,00%;0,00%
Cyprus;Slovakia;232;0;0;0,00%;-1,00%;0,00%;0,00%
Denmark;Slovakia;232;0;0;0,00%;-1,00%;0,00%;0,00%
Estonia;Slovakia;232;0;0;0,00%;-1,00%;0,00%;0,00%
Finland;Slovakia;232;0;0;0,00%;-1,00%;0,00%;0,00%
France;Slovakia;232;0;0;0,00%;-1,00%;0,00%;0,00%
Germany;Slovakia;232;0;0;0,00%;-1,00%;0,00%;0,00%
Greece;Slovakia;232;0;0;0,00%;-1,00%;0,00%;0,00%
Iceland;Slovakia;232;0;0;0,00%;-1,00%;0,00%;0,00%
Ireland;Slovakia;232;0;0;0,00%;-1,00%;0,00%;0,00%
Israel;Slovakia;232;0;0;0,00%;-1,00%;0,00%;0,00%
Latvia;Slovakia;232;0;0;0,00%;-1,00%;0,00%;0,00%
Lithuania;Slovakia;232;0;0;0,00%;-1,00%;0,00%;0,00%
Macedonia;Slovakia;232;0;0;0,00%;-1,00%;0,00%;0,00%
Malta;Slovakia;232;0;0;0,00%;-1,00%;0,00%;0,00%
Moldova;Slovakia;232;0;0;0,00%;-1,00%;0,00%;0,00%
Netherlands;Slovakia;232;0;0;0,00%;-1,00%;0,00%;0,00%
Norway;Slovakia;232;0;0;0,00%;-1,00%;0,00%;0,00%
Portugal;Slovakia;232;0;0;0,00%;-1,00%;0,00%;0,00%
Romania;Slovakia;232;0;0;0,00%;-1,00%;0,00%;0,00%
Russia;Slovakia;232;0;0;0,00%;-1,00%;0,00%;0,00%
Serbia;Slovakia;232;0;0;0,00%;-1,00%;0,00%;0,00%
Slovenia;Slovakia;232;0;0;0,00%;-1,00%;0,00%;0,00%
Spain;Slovakia;232;0;0;0,00%;-1,00%;0,00%;0,00%
Sweden;Slovakia;232;0;0;0,00%;-1,00%;0,00%;0,00%
Switzerland;Slovakia;232;0;0;0,00%;-1,00%;0,00%;0,00%
Turkey;Slovakia;232;0;0;0,00%;-1,00%;0,00%;0,00%
Ukraine;Slovakia;232;0;0;0,00%;-1,00%;0,00%;0,00%
UnitedKingdom;Slovakia;232;0;0;0,00%;-1,00%;0,00%;0,00%
Armenia;Slovakia;174;0;0;0,00%;-1,00%;0,00%;0,00%
Georgia;Slovakia;174;0;0;0,00%;-1,00%;0,00%;0,00%
Hungary;Slovakia;174;0;0;0,00%;-1,00%;0,00%;0,00%
Poland;Slovakia;174;0;0;0,00%;-1,00%;0,00%;0,00%
Austria;Slovakia;116;0;0;0,00%;-1,00%;0,00%;0,00%
Italy;Slovakia;116;0;0;0,00%;-1,00%;0,00%;0,00%
Montenegro;Slovakia;116;0;0;0,00%;-1,00%;0,00%;0,00%
SanMarino;Slovakia;116;0;0;0,00%;-1,00%;0,00%;0,00%
Andorra;Slovakia;58;0;0;0,00%;-1,00%;0,00%;0,00%
Czech;Slovakia;58;0;0;0,00%;-1,00%;0,00%;0,00%
BosniaHerzegovina;Slovenia;812;272;34;4,19%;12,50%;0,90%;3,29%
Croatia;Slovenia;1218;441;55;4,52%;12,47%;0,94%;3,58%
Montenegro;Slovenia;870;283;30;3,45%;10,60%;0,79%;2,66%
Serbia;Slovenia;928;370;38;4,10%;10,27%;0,96%;3,14%
Macedonia;Slovenia;1218;412;33;2,71%;8,01%;0,85%;1,86%
Czech;Slovenia;696;274;17;2,44%;6,20%;0,94%;1,50%
Poland;Slovenia;1160;456;25;2,16%;5,48%;1,00%;1,15%
Ukraine;Slovenia;1044;242;9;0,86%;3,72%;0,58%;0,28%
Russia;Slovenia;1218;489;18;1,48%;3,68%;1,05%;0,43%
Belarus;Slovenia;1160;379;13;1,12%;3,43%;0,80%;0,32%
Austria;Slovenia;1044;419;12;1,15%;2,86%;1,03%;0,12%
Estonia;Slovenia;1334;489;14;1,05%;2,86%;0,95%;0,10%
Israel;Slovenia;1334;489;14;1,05%;2,86%;0,95%;0,10%
Lithuania;Slovenia;1276;482;13;1,02%;2,70%;0,96%;0,06%
Latvia;Slovenia;1334;489;13;0,97%;2,66%;0,95%;0,03%
Spain;Slovenia;1334;489;13;0,97%;2,66%;0,95%;0,03%
Hungary;Slovenia;986;379;9;0,91%;2,38%;0,93%;-0,02%
Azerbaijan;Slovenia;928;313;7;0,75%;2,24%;0,82%;-0,06%
SanMarino;Slovenia;812;313;7;0,86%;2,24%;0,93%;-0,07%
Portugal;Slovenia;1102;456;10;0,91%;2,19%;1,06%;-0,15%
Finland;Slovenia;1218;412;8;0,66%;1,94%;0,85%;-0,19%
Iceland;Slovenia;1276;456;8;0,63%;1,75%;0,91%;-0,28%
France;Slovenia;1334;489;8;0,60%;1,64%;0,95%;-0,35%
Germany;Slovenia;1334;489;8;0,60%;1,64%;0,95%;-0,35%
Malta;Slovenia;1334;489;8;0,60%;1,64%;0,95%;-0,35%
Sweden;Slovenia;1334;489;8;0,60%;1,64%;0,95%;-0,35%
Netherlands;Slovenia;1276;456;7;0,55%;1,54%;0,91%;-0,36%
Norway;Slovenia;1276;456;7;0,55%;1,54%;0,91%;-0,36%
Cyprus;Slovenia;1218;410;6;0,49%;1,46%;0,85%;-0,36%
Denmark;Slovenia;1276;482;7;0,55%;1,45%;0,96%;-0,41%
UnitedKingdom;Slovenia;1334;489;6;0,45%;1,23%;0,95%;-0,50%
Romania;Slovenia;1160;419;5;0,43%;1,19%;0,92%;-0,49%
Georgia;Slovenia;928;379;4;0,43%;1,06%;0,99%;-0,56%
Slovakia;Slovenia;232;96;1;0,43%;1,04%;1,00%;-0,57%
Ireland;Slovenia;1276;456;4;0,31%;0,88%;0,91%;-0,60%
Greece;Slovenia;1334;489;4;0,30%;0,82%;0,95%;-0,65%
Turkey;Slovenia;696;272;2;0,29%;0,74%;1,07%;-0,79%
Switzerland;Slovenia;1218;412;2;0,16%;0,49%;0,85%;-0,68%
Belgium;Slovenia;1276;419;2;0,16%;0,48%;0,83%;-0,68%
Andorra;Slovenia;348;66;0;0,00%;0,00%;0,47%;-0,47%
Bulgaria;Slovenia;870;226;0;0,00%;0,00%;0,63%;-0,63%
Albania;Slovenia;1160;379;0;0,00%;0,00%;0,80%;-0,80%
Moldova;Slovenia;1102;379;0;0,00%;0,00%;0,84%;-0,84%
Armenia;Slovenia;986;379;0;0,00%;0,00%;0,93%;-0,93%
Australia;Slovenia;522;208;0;0,00%;0,00%;0,95%;-0,95%
Italy;Slovenia;754;313;0;0,00%;0,00%;1,01%;-1,01%
Luxembourg;Slovenia;0;0;0;-1,00%;-1,00%;-1,00%;0,00%
Morocco;Slovenia;0;0;0;-1,00%;-1,00%;-1,00%;0,00%
Yugoslavia;Slovenia;0;0;0;-1,00%;-1,00%;-1,00%;0,00%
Monaco;Slovenia;174;0;0;0,00%;-1,00%;0,00%;0,00%
Serbia&Montenegro;Slovenia;174;0;0;0,00%;-1,00%;0,00%;0,00%
Andorra;Spain;348;254;60;17,24%;23,62%;1,83%;15,42%
Portugal;Spain;1102;835;134;12,16%;16,05%;1,94%;10,22%
France;Spain;1392;1019;85;6,11%;8,34%;1,92%;4,18%
Switzerland;Spain;1276;862;63;4,94%;7,31%;1,72%;3,22%
Albania;Spain;1160;763;55;4,74%;7,21%;1,61%;3,13%
Australia;Spain;522;212;14;2,68%;6,60%;0,97%;1,71%
Israel;Spain;1392;1019;65;4,67%;6,38%;1,92%;2,75%
Cyprus;Spain;1276;869;51;4,00%;5,87%;1,76%;2,24%
Belgium;Spain;1334;943;52;3,90%;5,51%;1,83%;2,07%
Romania;Spain;1218;866;43;3,53%;4,97%;1,85%;1,68%
Greece;Spain;1334;1001;34;2,55%;3,40%;1,94%;0,61%
Italy;Spain;754;441;14;1,86%;3,18%;1,42%;0,44%
Netherlands;Spain;1334;938;25;1,87%;2,67%;1,82%;0,05%
UnitedKingdom;Spain;1392;1019;27;1,94%;2,65%;1,92%;0,02%
Armenia;Spain;986;551;13;1,32%;2,36%;1,36%;-0,04%
Monaco;Spain;174;133;3;1,72%;2,26%;2,03%;-0,31%
Sweden;Spain;1392;1019;22;1,58%;2,16%;1,92%;-0,34%
BosniaHerzegovina;Spain;812;784;16;1,97%;2,04%;2,59%;-0,62%
Moldova;Spain;1102;676;13;1,18%;1,92%;1,49%;-0,31%
Norway;Spain;1334;938;18;1,35%;1,92%;1,82%;-0,47%
Turkey;Spain;754;725;13;1,72%;1,79%;2,71%;-0,99%
Bulgaria;Spain;870;533;9;1,03%;1,69%;1,48%;-0,45%
Germany;Spain;1392;1019;16;1,15%;1,57%;1,92%;-0,78%
Croatia;Spain;1276;930;13;1,02%;1,40%;1,92%;-0,90%
Russia;Spain;1276;1014;14;1,10%;1,38%;2,11%;-1,01%
Lithuania;Spain;1276;920;12;0,94%;1,30%;1,84%;-0,90%
Slovenia;Spain;1334;1001;13;0,97%;1,30%;1,94%;-0,97%
Estonia;Spain;1392;1019;13;0,93%;1,28%;1,92%;-0,99%
Latvia;Spain;1392;1019;13;0,93%;1,28%;1,92%;-0,99%
Iceland;Spain;1334;938;11;0,82%;1,17%;1,82%;-0,99%
Montenegro;Spain;870;512;6;0,69%;1,17%;1,42%;-0,73%
Poland;Spain;1160;815;9;0,78%;1,10%;1,79%;-1,02%
Ireland;Spain;1334;938;10;0,75%;1,07%;1,82%;-1,07%
Hungary;Spain;986;590;6;0,61%;1,02%;1,45%;-0,84%
Denmark;Spain;1334;938;9;0,67%;0,96%;1,82%;-1,15%
Finland;Spain;1276;862;8;0,63%;0,93%;1,72%;-1,09%
Slovakia;Spain;232;238;2;0,86%;0,84%;2,47%;-1,61%
Ukraine;Spain;1044;775;6;0,57%;0,77%;1,86%;-1,28%
Austria;Spain;1102;779;6;0,54%;0,77%;1,85%;-1,30%
Malta;Spain;1392;1019;7;0,50%;0,69%;1,92%;-1,42%
Azerbaijan;Spain;928;587;4;0,43%;0,68%;1,53%;-1,10%
Macedonia;Spain;1276;862;5;0,39%;0,58%;1,72%;-1,33%
Serbia;Spain;928;556;2;0,22%;0,36%;1,44%;-1,22%
Georgia;Spain;928;607;2;0,22%;0,33%;1,58%;-1,37%
Belarus;Spain;1160;763;2;0,17%;0,26%;1,61%;-1,44%
SanMarino;Spain;812;496;1;0,12%;0,20%;1,47%;-1,35%
Czech;Spain;696;333;0;0,00%;0,00%;1,14%;-1,14%
Serbia&Montenegro;Spain;174;133;0;0,00%;0,00%;2,03%;-2,03%
Luxembourg;Spain;0;0;0;-1,00%;-1,00%;-1,00%;0,00%
Morocco;Spain;0;0;0;-1,00%;-1,00%;-1,00%;0,00%
Yugoslavia;Spain;0;0;0;-1,00%;-1,00%;-1,00%;0,00%
Denmark;Sweden;1334;3176;210;15,74%;6,61%;6,17%;9,57%
Finland;Sweden;1276;3076;170;13,32%;5,53%;6,14%;7,18%
Norway;Sweden;1334;3211;165;12,37%;5,14%;6,23%;6,14%
Iceland;Sweden;1334;3211;150;11,24%;4,67%;6,23%;5,01%
Estonia;Sweden;1392;3283;145;10,42%;4,42%;6,20%;4,22%
Slovakia;Sweden;232;590;22;9,48%;3,73%;6,13%;3,36%
Australia;Sweden;522;1578;56;10,73%;3,55%;7,24%;3,49%
Andorra;Sweden;348;501;17;4,89%;3,39%;3,60%;1,29%
Latvia;Sweden;1392;3283;108;7,76%;3,29%;6,20%;1,56%
UnitedKingdom;Sweden;1392;3283;108;7,76%;3,29%;6,20%;1,56%
Malta;Sweden;1392;3283;101;7,26%;3,08%;6,20%;1,06%
Israel;Sweden;1392;3283;100;7,18%;3,05%;6,20%;0,98%
Netherlands;Sweden;1334;3211;96;7,20%;2,99%;6,23%;0,97%
Spain;Sweden;1392;3283;98;7,04%;2,99%;6,20%;0,84%
Czech;Sweden;696;1709;51;7,33%;2,98%;5,86%;1,47%
Ireland;Sweden;1334;3211;95;7,12%;2,96%;6,23%;0,89%
Lithuania;Sweden;1276;3088;90;7,05%;2,92%;6,17%;0,88%
Slovenia;Sweden;1334;3195;93;6,97%;2,91%;6,20%;0,78%
Turkey;Sweden;754;1425;37;4,91%;2,60%;5,33%;-0,42%
Belgium;Sweden;1334;3183;81;6,07%;2,55%;6,17%;-0,09%
Poland;Sweden;1160;2689;68;5,86%;2,53%;5,91%;-0,05%
Hungary;Sweden;986;2576;61;6,19%;2,37%;6,32%;-0,13%
France;Sweden;1392;3283;77;5,53%;2,35%;6,20%;-0,67%
Germany;Sweden;1392;3283;76;5,46%;2,32%;6,20%;-0,74%
Armenia;Sweden;986;2344;54;5,48%;2,30%;5,78%;-0,31%
Cyprus;Sweden;1276;2965;68;5,33%;2,29%;5,99%;-0,66%
Romania;Sweden;1218;2922;67;5,50%;2,29%;6,25%;-0,75%
Austria;Sweden;1102;2933;67;6,08%;2,28%;6,95%;-0,87%
Monaco;Sweden;174;370;8;4,60%;2,16%;5,65%;-1,05%
Ukraine;Sweden;1044;2324;50;4,79%;2,15%;5,57%;-0,78%
BosniaHerzegovina;Sweden;812;1598;34;4,19%;2,13%;5,29%;-1,10%
Georgia;Sweden;928;2513;53;5,71%;2,11%;6,56%;-0,84%
Moldova;Sweden;1102;2746;55;4,99%;2,00%;6,07%;-1,08%
Serbia;Sweden;928;2328;46;4,96%;1,98%;6,03%;-1,07%
Switzerland;Sweden;1276;3076;58;4,55%;1,89%;6,14%;-1,59%
Belarus;Sweden;1160;2916;53;4,57%;1,82%;6,16%;-1,59%
Portugal;Sweden;1102;2800;50;4,54%;1,79%;6,51%;-1,97%
Albania;Sweden;1160;2916;52;4,48%;1,78%;6,16%;-1,68%
SanMarino;Sweden;812;2462;40;4,93%;1,63%;7,32%;-2,39%
Russia;Sweden;1276;2939;43;3,37%;1,46%;6,11%;-2,74%
Macedonia;Sweden;1276;3076;45;3,53%;1,46%;6,14%;-2,61%
Croatia;Sweden;1276;2700;39;3,06%;1,44%;5,57%;-2,51%
Serbia&Montenegro;Sweden;174;370;5;2,87%;1,35%;5,65%;-2,77%
Italy;Sweden;754;2415;27;3,58%;1,12%;7,75%;-4,17%
Bulgaria;Sweden;870;1829;19;2,18%;1,04%;5,08%;-2,89%
Montenegro;Sweden;870;2361;24;2,76%;1,02%;6,56%;-3,80%
Greece;Sweden;1334;3195;30;2,25%;0,94%;6,20%;-3,95%
Azerbaijan;Sweden;928;2495;21;2,26%;0,84%;6,51%;-4,25%
Luxembourg;Sweden;0;0;0;-1,00%;-1,00%;-1,00%;0,00%
Morocco;Sweden;0;0;0;-1,00%;-1,00%;-1,00%;0,00%
Yugoslavia;Sweden;0;0;0;-1,00%;-1,00%;-1,00%;0,00%
Slovakia;Switzerland;232;19;4;1,72%;21,05%;0,20%;1,53%
Monaco;Switzerland;174;158;14;8,05%;8,86%;2,41%;5,64%
Austria;Switzerland;1044;604;31;2,97%;5,13%;1,48%;1,49%
Armenia;Switzerland;986;477;20;2,03%;4,19%;1,18%;0,85%
Serbia;Switzerland;928;383;16;1,72%;4,18%;0,99%;0,73%
Estonia;Switzerland;1276;634;26;2,04%;4,10%;1,27%;0,77%
Ireland;Switzerland;1218;619;25;2,05%;4,04%;1,27%;0,78%
Netherlands;Switzerland;1218;619;25;2,05%;4,04%;1,27%;0,78%
Germany;Switzerland;1276;634;25;1,96%;3,94%;1,27%;0,69%
Malta;Switzerland;1276;634;24;1,88%;3,79%;1,27%;0,62%
UnitedKingdom;Switzerland;1276;634;23;1,80%;3,63%;1,27%;0,54%
Romania;Switzerland;1160;634;23;1,98%;3,63%;1,40%;0,58%
Poland;Switzerland;1044;605;21;2,01%;3,47%;1,42%;0,59%
Iceland;Switzerland;1218;619;19;1,56%;3,07%;1,27%;0,29%
Slovenia;Switzerland;1218;620;19;1,56%;3,07%;1,27%;0,29%
Croatia;Switzerland;1160;570;17;1,47%;2,98%;1,25%;0,22%
Belarus;Switzerland;1160;605;18;1,55%;2,98%;1,28%;0,27%
Portugal;Switzerland;986;605;18;1,83%;2,98%;1,51%;0,32%
Cyprus;Switzerland;1218;570;15;1,23%;2,63%;1,19%;0,04%
Israel;Switzerland;1276;634;16;1,25%;2,52%;1,27%;-0,01%
Latvia;Switzerland;1276;634;16;1,25%;2,52%;1,27%;-0,01%
Sweden;Switzerland;1276;634;16;1,25%;2,52%;1,27%;-0,01%
Norway;Switzerland;1218;619;15;1,23%;2,42%;1,27%;-0,04%
Finland;Switzerland;1276;634;15;1,18%;2,37%;1,27%;-0,09%
Albania;Switzerland;1160;605;14;1,21%;2,31%;1,28%;-0,07%
Greece;Switzerland;1218;620;14;1,15%;2,26%;1,27%;-0,12%
Russia;Switzerland;1160;634;14;1,21%;2,21%;1,40%;-0,19%
Hungary;Switzerland;986;575;12;1,22%;2,09%;1,41%;-0,19%
BosniaHerzegovina;Switzerland;696;192;4;0,57%;2,08%;0,70%;-0,13%
Ukraine;Switzerland;986;241;5;0,51%;2,08%;0,60%;-0,09%
Denmark;Switzerland;1276;634;13;1,02%;2,05%;1,27%;-0,25%
Spain;Switzerland;1276;634;13;1,02%;2,05%;1,27%;-0,25%
Lithuania;Switzerland;1218;620;12;0,99%;1,94%;1,27%;-0,29%
Australia;Switzerland;522;364;7;1,34%;1,92%;1,67%;-0,33%
Belgium;Switzerland;1276;634;12;0,94%;1,89%;1,27%;-0,32%
Azerbaijan;Switzerland;928;447;8;0,86%;1,79%;1,17%;-0,30%
SanMarino;Switzerland;812;447;7;0,86%;1,57%;1,33%;-0,47%
Czech;Switzerland;696;364;5;0,72%;1,37%;1,25%;-0,53%
Montenegro;Switzerland;870;428;5;0,57%;1,17%;1,19%;-0,61%
Italy;Switzerland;754;447;5;0,66%;1,12%;1,44%;-0,77%
France;Switzerland;1276;634;7;0,55%;1,10%;1,27%;-0,72%
Macedonia;Switzerland;1276;634;7;0,55%;1,10%;1,27%;-0,72%
Georgia;Switzerland;928;447;4;0,43%;0,89%;1,17%;-0,74%
Moldova;Switzerland;1102;605;4;0,36%;0,66%;1,34%;-0,97%
Andorra;Switzerland;348;158;1;0,29%;0,63%;1,14%;-0,85%
Bulgaria;Switzerland;870;177;0;0,00%;0,00%;0,49%;-0,49%
Turkey;Switzerland;638;206;0;0,00%;0,00%;0,86%;-0,86%
Serbia&Montenegro;Switzerland;174;158;0;0,00%;0,00%;2,41%;-2,41%
Luxembourg;Switzerland;0;0;0;-1,00%;-1,00%;-1,00%;0,00%
Morocco;Switzerland;0;0;0;-1,00%;-1,00%;-1,00%;0,00%
Yugoslavia;Switzerland;0;0;0;-1,00%;-1,00%;-1,00%;0,00%
France;Turkey;754;1434;123;16,31%;8,58%;5,36%;10,95%
Azerbaijan;Turkey;290;597;48;16,55%;8,04%;4,93%;11,63%
Netherlands;Turkey;696;1405;109;15,66%;7,76%;5,54%;10,12%
Germany;Turkey;754;1434;111;14,72%;7,74%;5,36%;9,36%
Belgium;Turkey;696;1393;91;13,07%;6,53%;5,48%;7,59%
Albania;Turkey;522;1138;71;13,60%;6,24%;5,39%;8,21%
Macedonia;Turkey;638;1226;74;11,60%;6,04%;5,13%;6,47%
BosniaHerzegovina;Turkey;696;1375;76;10,92%;5,53%;5,43%;5,50%
Austria;Turkey;464;817;45;9,70%;5,51%;5,10%;4,59%
Switzerland;Turkey;638;1226;63;9,88%;5,14%;5,13%;4,74%
Romania;Turkey;696;1393;68;9,77%;4,88%;5,48%;4,29%
Bulgaria;Turkey;464;943;46;9,91%;4,88%;4,96%;4,96%
UnitedKingdom;Turkey;754;1434;60;7,96%;4,18%;5,36%;2,60%
Denmark;Turkey;696;1267;50;7,18%;3,95%;5,02%;2,16%
SanMarino;Turkey;174;250;9;5,17%;3,60%;3,37%;1,81%
Georgia;Turkey;290;583;20;6,90%;3,43%;4,81%;2,09%
Sweden;Turkey;754;1434;38;5,04%;2,65%;5,36%;-0,32%
Norway;Turkey;696;1405;37;5,32%;2,63%;5,54%;-0,23%
Croatia;Turkey;754;1434;36;4,78%;2,51%;5,36%;-0,59%
Monaco;Turkey;174;378;8;4,60%;2,12%;5,77%;-1,17%
Greece;Turkey;696;1375;29;4,17%;2,11%;5,43%;-1,26%
Hungary;Turkey;348;682;14;4,02%;2,05%;4,69%;-0,66%
Finland;Turkey;638;1226;25;3,92%;2,04%;5,13%;-1,21%
Ukraine;Turkey;580;1305;21;3,62%;1,61%;5,77%;-2,15%
Malta;Turkey;754;1434;21;2,79%;1,46%;5,36%;-2,58%
Israel;Turkey;754;1434;14;1,86%;0,98%;5,36%;-3,51%
Spain;Turkey;754;1434;14;1,86%;0,98%;5,36%;-3,51%
Slovenia;Turkey;696;1375;12;1,72%;0,87%;5,43%;-3,70%
Cyprus;Turkey;696;1393;12;1,72%;0,86%;5,48%;-3,76%
Russia;Turkey;754;1434;12;1,59%;0,84%;5,36%;-3,77%
Portugal;Turkey;638;1346;11;1,72%;0,82%;5,62%;-3,90%
Poland;Turkey;580;1234;10;1,72%;0,81%;5,74%;-4,01%
Belarus;Turkey;522;1138;9;1,72%;0,79%;5,39%;-3,67%
Iceland;Turkey;696;1405;11;1,58%;0,78%;5,54%;-3,96%
Montenegro;Turkey;232;590;4;1,72%;0,68%;6,02%;-4,30%
Lithuania;Turkey;638;1208;8;1,25%;0,66%;5,07%;-3,81%
Armenia;Turkey;348;739;4;1,15%;0,54%;5,16%;-4,01%
Serbia&Montenegro;Turkey;174;378;2;1,15%;0,53%;5,77%;-4,62%
Estonia;Turkey;754;1434;6;0,80%;0,42%;5,36%;-4,57%
Serbia;Turkey;348;760;3;0,86%;0,39%;5,22%;-4,36%
Andorra;Turkey;348;856;3;0,86%;0,35%;6,15%;-5,29%
Czech;Turkey;174;478;1;0,57%;0,21%;6,49%;-5,91%
Ireland;Turkey;696;1405;2;0,29%;0,14%;5,54%;-5,26%
Latvia;Turkey;754;1434;2;0,27%;0,14%;5,36%;-5,10%
Moldova;Turkey;464;943;1;0,22%;0,11%;4,96%;-4,74%
Italy;Turkey;116;112;0;0,00%;0,00%;2,27%;-2,27%
Slovakia;Turkey;232;459;0;0,00%;0,00%;4,77%;-4,77%
Australia;Turkey;0;0;0;-1,00%;-1,00%;-1,00%;0,00%
Luxembourg;Turkey;0;0;0;-1,00%;-1,00%;-1,00%;0,00%
Morocco;Turkey;0;0;0;-1,00%;-1,00%;-1,00%;0,00%
Yugoslavia;Turkey;0;0;0;-1,00%;-1,00%;-1,00%;0,00%
Azerbaijan;Ukraine;754;1665;108;14,32%;6,49%;5,33%;8,99%
Poland;Ukraine;928;2106;120;12,93%;5,70%;5,68%;7,25%
Moldova;Ukraine;928;2075;117;12,61%;5,64%;5,44%;7,17%
Belarus;Ukraine;986;2355;126;12,78%;5,35%;5,85%;6,93%
Georgia;Ukraine;754;1824;91;12,07%;4,99%;5,84%;6,24%
Italy;Ukraine;580;1251;62;10,69%;4,96%;5,20%;5,49%
Portugal;Ukraine;870;1637;74;8,51%;4,52%;4,73%;3,78%
Czech;Ukraine;522;1241;56;10,73%;4,51%;5,62%;5,11%
Russia;Ukraine;928;2349;101;10,88%;4,30%;6,37%;4,51%
Israel;Ukraine;1044;2385;99;9,48%;4,15%;5,71%;3,77%
Latvia;Ukraine;1044;2385;96;9,20%;4,03%;5,71%;3,48%
Armenia;Ukraine;812;1980;70;8,62%;3,54%;5,92%;2,71%
Andorra;Ukraine;348;996;33;9,48%;3,31%;7,16%;2,33%
Lithuania;Ukraine;986;2355;78;7,91%;3,31%;5,85%;2,06%
Slovakia;Ukraine;232;408;13;5,60%;3,19%;4,24%;1,37%
Turkey;Ukraine;580;1358;39;6,72%;2,87%;6,00%;0,72%
Serbia;Ukraine;754;1787;51;6,76%;2,85%;5,66%;1,10%
Estonia;Ukraine;1044;2385;66;6,32%;2,77%;5,71%;0,61%
Serbia&Montenegro;Ukraine;174;455;12;6,90%;2,64%;6,94%;-0,04%
Bulgaria;Ukraine;870;1962;50;5,75%;2,55%;5,45%;0,30%
Spain;Ukraine;1044;2385;57;5,46%;2,39%;5,71%;-0,25%
Cyprus;Ukraine;986;2272;54;5,48%;2,38%;5,74%;-0,26%
Greece;Ukraine;1044;2385;54;5,17%;2,26%;5,71%;-0,54%
Croatia;Ukraine;986;2272;51;5,17%;2,25%;5,74%;-0,56%
Macedonia;Ukraine;986;2355;51;5,17%;2,17%;5,85%;-0,68%
Malta;Ukraine;1044;2385;50;4,79%;2,10%;5,71%;-0,92%
Hungary;Ukraine;812;1822;38;4,68%;2,09%;5,41%;-0,73%
BosniaHerzegovina;Ukraine;696;1892;38;5,46%;2,01%;6,88%;-1,42%
SanMarino;Ukraine;638;1481;29;4,55%;1,96%;5,58%;-1,03%
UnitedKingdom;Ukraine;1044;2385;45;4,31%;1,89%;5,71%;-1,40%
Monaco;Ukraine;174;455;8;4,60%;1,76%;6,94%;-2,34%
Slovenia;Ukraine;1044;2385;41;3,93%;1,72%;5,71%;-1,78%
Montenegro;Ukraine;696;1633;28;4,02%;1,72%;5,64%;-1,62%
Ireland;Ukraine;1044;2385;37;3,54%;1,55%;5,71%;-2,17%
Romania;Ukraine;928;1851;27;2,91%;1,46%;5,02%;-2,11%
Denmark;Ukraine;986;2355;34;3,45%;1,44%;5,85%;-2,40%
Australia;Ukraine;348;700;10;2,87%;1,43%;4,75%;-1,88%
Finland;Ukraine;986;2355;33;3,35%;1,40%;5,85%;-2,50%
Iceland;Ukraine;1044;2385;32;3,07%;1,34%;5,71%;-2,65%
Austria;Ukraine;812;1826;24;2,96%;1,31%;5,64%;-2,69%
Netherlands;Ukraine;1044;2385;31;2,97%;1,30%;5,71%;-2,74%
Belgium;Ukraine;1044;2385;24;2,30%;1,01%;5,71%;-3,41%
Germany;Ukraine;1044;2385;24;2,30%;1,01%;5,71%;-3,41%
Norway;Ukraine;1044;2385;24;2,30%;1,01%;5,71%;-3,41%
Sweden;Ukraine;1044;2385;23;2,20%;0,96%;5,71%;-3,51%
Albania;Ukraine;986;2355;22;2,23%;0,93%;5,85%;-3,62%
France;Ukraine;1044;2385;22;2,11%;0,92%;5,71%;-3,60%
Switzerland;Ukraine;986;2355;12;1,22%;0,51%;5,85%;-4,63%
Luxembourg;Ukraine;0;0;0;-1,00%;-1,00%;-1,00%;0,00%
Morocco;Ukraine;0;0;0;-1,00%;-1,00%;-1,00%;0,00%
Yugoslavia;Ukraine;0;0;0;-1,00%;-1,00%;-1,00%;0,00%
